full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper,contributors_count
RodolphoGLC/Dio-Bootcamp-Pottencial-.NET-Developer,False,True,False,False,False,False,False,False,1
RodrigoFreireA/SenaiFullStack,False,True,False,False,False,False,False,False,1
RodrigoRaiche/devInHouse_CSharp_m3,False,True,False,False,False,False,False,False,1
RodrigoSFDev/projeto_blog,False,True,False,False,False,False,False,False,1
Roger-Johansson/WestCoastEducationITHS,False,True,False,False,False,False,False,False,2
RogerJohanssonITHS/Labb2,False,True,False,False,False,False,False,False,1
RolandGuijt/ps-aspnetcore6apiauth,False,True,False,False,False,False,False,False,1
RolandGuijt/react-fundamentals,False,True,False,False,False,False,False,False,2
RolandoLopez16/ServiApp_v4,False,True,False,False,False,False,False,False,2
Romain-OD/gRPC,False,True,False,False,False,False,False,False,1
RomanVitolo/LoginAPI_.NET,False,True,False,False,False,False,False,False,2
Rookies6-NguyenCongTruong/NashTech_Assignment,False,True,False,False,False,False,False,False,1
RyanAOGallagher/MultimodalAuthentication,False,True,False,False,False,False,False,False,2
RyanFrantz/commando,True,False,False,False,False,False,False,False,1
Ryzoo/magisterka,False,True,False,False,False,False,False,False,1
S7Andrei/CRUD-TO-USERS,False,True,False,False,False,False,False,False,1
S7Andrei/LOG-CORS-METHOD,False,True,False,False,False,False,False,False,1
SAP/InfraBox,True,False,False,False,False,False,False,False,46
SOFMARC/ThomasGreg,False,True,False,False,False,False,False,False,1
SOHEL9764/12,False,True,False,False,False,False,False,False,1
SOHEL9764/14,False,True,False,False,False,False,False,False,1
SOHEL9764/15,False,True,False,False,False,False,False,False,1
SOHEL9764/18,False,True,False,False,False,False,False,False,1
SOHEL9764/19,False,True,False,False,False,False,False,False,1
SOHEL9764/20,False,True,False,False,False,False,False,False,1
SOHEL9764/21,False,True,False,False,False,False,False,False,1
SOHEL9764/22,False,True,False,False,False,False,False,False,1
SOHEL9764/23,False,True,False,False,False,False,False,False,1
SOHEL9764/24,False,True,False,False,False,False,False,False,1
SOHEL9764/25,False,True,False,False,False,False,False,False,1
SOHEL9764/new-project,False,True,False,False,False,False,False,False,1
SOHEL9764/new-project2,False,True,False,False,False,False,False,False,1
SOHEL9764/new-project3,False,True,False,False,False,False,False,False,1
SOHEL9764/new-project4,False,True,False,False,False,False,False,False,1
SOHEL9764/new-project7,False,True,False,False,False,False,False,False,1
SOHEL9764/repo08,False,True,False,False,False,False,False,False,1
SabirGuliyev/AB101-Practice,False,True,False,False,False,False,False,False,1
SabirGuliyev/AB202,False,True,False,False,False,False,False,False,1
SahidAliKhan/Simplilearn-Projects,False,True,False,False,False,False,False,False,1
SalamBhai/Modular-Monolith-Architecture-With-CQRS,False,True,False,False,False,False,False,False,1
Sam-Chu-07/Hololens2_Yolov5,False,True,False,False,False,False,False,False,1
Sam-Tech-Ideas/CRUDAPP,False,True,False,False,False,False,False,False,1
SamYuan1990/Probe,True,False,False,False,False,False,False,False,3
Samagra-Development/opa-poc,True,False,False,False,False,False,False,False,1
Samandar02/asp.net-core,False,True,False,False,False,False,False,False,1
Samtray/Callcenter-Simulator,False,True,False,False,False,False,False,False,3
Samuelepuri/terrafom,False,True,False,False,False,False,False,False,1
Samvid95/HololensDrawing,False,True,False,False,False,False,False,False,1
SanSteAaron/Copia-2DAW,False,True,False,False,False,False,False,False,1
SaraLund/ProgrammeringOpgaver,False,True,False,False,False,False,False,False,1
Sarangani-Sivarajah/File-Upload,False,True,False,False,False,False,False,False,1
Sazzadfahim/Twitter-Clone,False,True,False,False,False,False,False,False,2
Scalr/sample-tf-opa-policies,True,False,False,False,False,False,False,False,11
ScarlettZ98/BiSwipeG05,False,True,False,False,False,False,False,False,1
Scottin3d/TopoMap,False,True,False,False,False,False,False,False,5
Search-Pankaj/dotnetapp,False,True,False,False,False,False,False,False,1
SebaPL21/KeyMaster,False,True,False,False,False,False,False,False,1
Sebp23/DataDesignHW,False,True,False,False,False,False,False,False,1
SecurityIsIllusion/opa-integration,True,False,False,False,False,False,False,False,1
Selvi1410/test2,False,True,False,False,False,False,False,False,1
SemihMollaoglu/Angular,False,True,False,False,False,False,False,False,1
SergSha/lab-13,False,True,False,False,False,False,False,False,1
Sergio-bb/MapsterExample,False,True,False,False,False,False,False,False,1
Serhat60Karaca/Train-Ticket-System,False,True,False,False,False,False,False,False,1
Seva74/TSU_TASKS,False,True,False,False,False,False,False,False,1
SeyedMHM/TadbirPardazInterviewProject,False,True,False,False,False,False,False,False,1
ShadmanAbir/dotNetTraining,False,True,False,False,False,False,False,False,1
Shaigak/EndProject,False,True,False,False,False,False,False,False,1
Shamim2601/dotnet_core_mongodb_atlas_crud,False,True,False,False,False,False,False,False,1
ShanguUncle/UnityChatHololens,False,True,False,False,False,False,False,False,3
ShaoweiTeng-lab/MrtkJason,False,True,False,False,False,False,False,False,1
ShariValentaTestAutomator/EAApp,False,True,False,False,False,False,False,False,2
Sherlock67/CourierSystem,False,True,False,False,False,False,False,False,1
ShivamGautam98/tf_setinel_policies,False,True,False,False,False,False,False,False,1
Shossi/WebApplication5,False,True,False,False,False,False,False,False,1
Shreyav2000/ACS_567_HWK,False,True,False,False,False,False,False,False,2
Shubham2886/DOTNET,False,True,False,False,False,False,False,False,1
ShubhamHandge/DotNet,False,True,False,False,False,False,False,False,1
ShutovKS-Other-projects/Mini-zoo-AR,False,True,False,False,False,False,False,False,2
Sianooo/Aplikacje-Webowe,False,True,False,False,False,False,False,False,1
SignalRichard/polyglot-hello-world,True,False,False,False,False,False,False,False,1
SimonTvr/ApiContact,False,True,False,False,False,False,False,False,1
Sinoptik93/backend-lectures,False,True,False,False,False,False,False,False,1
SirRots/opa-policy-bundles-public,True,False,False,False,False,False,False,False,10
Skarlso/mpas-external-secret-public-demo,True,False,False,False,False,False,False,False,1
SlahIbenAmor/CSHARP_NOVEMBER_2024,False,True,False,False,False,False,False,False,1
Smithsonite/TerraformInAction,False,True,False,False,False,False,False,False,13
SniraJavas/taco-challenge,False,True,False,False,False,False,False,False,1
Snowvita/GoogleAuth,False,True,False,False,False,False,False,False,1
Snyk-General-Support/00098117,True,False,False,False,False,False,False,False,1
SoftwareGeekStar/CryptoConvertor,False,True,False,False,False,False,False,False,1
Soluto/airbag,True,False,False,False,False,False,False,False,18
SonBear/dotnet-webapi-aws-project,False,True,False,False,False,False,False,False,1
Sonivaljr/Senai_Atividade5_API,False,True,False,False,False,False,False,False,1
Spike433/ferDIPL,False,True,False,False,False,False,False,False,2
SpirosSaridakis/BackEnd-Rest-Api-Csharp,False,True,False,False,False,False,False,False,1
SrBusta/InventoryAPISOA,False,True,False,False,False,False,False,False,1
SrpGitHub-1994/skinet,False,True,False,False,False,False,False,False,1
Stefan-Allen/CO550,False,True,False,False,False,False,False,False,2
Steffany-Barbosa/estrutura-da-Api--metodo-Get,False,True,False,False,False,False,False,False,1
Steinvorth/IntrC-sharpAPI,False,True,False,False,False,False,False,False,1
SteliosVakoufis/KEDIVIM,False,True,False,False,False,False,False,False,1
Stelorr/simple-chef,False,True,False,False,False,False,False,False,3
SteveKameron/CSsem1,False,True,False,False,False,False,False,False,2
Steven2110/932001.Vidjaya.Steven.Weblab,False,True,False,False,False,False,False,False,1
StevenMM23/DatingApp,False,True,False,False,False,False,False,False,1
StormShadonw/security-.net-core-6,False,True,False,False,False,False,False,False,1
StrongMind/technical-excellence-exercises,False,True,False,False,False,False,False,False,5
StyraInc/academy-samples,True,False,False,False,False,False,False,False,3
StyraInc/enterprise-opa,True,False,False,False,False,False,False,False,12
StyraInc/graphql-apollo-example,True,False,False,False,False,False,False,False,2
StyraInc/lib.jwt,True,False,False,False,False,False,False,False,3
StyraInc/opa-aws-cloudformation-hook,True,False,False,False,False,False,False,False,6
StyraInc/opa-csharp,True,False,False,False,False,False,False,False,7
StyraInc/opa-java,True,False,False,False,False,False,False,False,11
StyraInc/opa-java-wasm,True,False,False,False,False,False,False,False,8
StyraInc/opa-sdk-demos,True,False,False,False,False,False,False,False,4
StyraInc/regal,True,False,False,False,False,False,False,False,33
StyraInc/rego-cheat-sheet,True,False,False,False,False,False,False,False,4
StyraInc/styra-demo-tickethub,True,False,False,False,False,False,False,False,10
SuhaibK1/CIT242_FP,False,True,False,False,False,False,False,False,1
SumeyyeYuce/NBUY,False,True,False,False,False,False,False,False,1
Sunbird-AIAssistant/ai-bot-installer,True,False,False,False,False,False,False,False,5
Surabhi-26/PizzaStore.Net6,False,True,False,False,False,False,False,False,1
Suryash-00/Csharp.Net,False,True,False,False,False,False,False,False,1
SvetoslavUzunov/ChatApp,False,True,False,False,False,False,False,False,1
SyedShoaibAli074/SBODeskBase,False,True,False,False,False,False,False,False,2
Synteraction-Lab/GlassMessaging,False,True,False,False,False,False,False,False,1
Szarny/raspik8s,True,False,False,False,False,False,False,False,1
TANGO-EU-PROJECT/waltid-ssikit,True,False,False,False,False,False,False,False,1
TASTY-POINT/web-services,False,True,False,False,False,False,False,False,1
TEJAS12Oct/CDAC-IET,False,True,False,False,False,False,False,False,1
TELBC/DocsMan,False,True,False,False,False,False,False,False,2
TLphongNguyen/baitaplonBackend,False,True,False,False,False,False,False,False,1
TUP-FRC-UTN/2do-parcial-2w1_113191_Franco_Moises-,False,True,False,False,False,False,False,False,1
TaCqz/RESTaurant,False,True,False,False,False,False,False,False,1
TadasGliadkovskis/SOA-CA2,False,True,False,False,False,False,False,False,1
Tahsinoshin/TradingVIewAPI,False,True,False,False,False,False,False,False,3
TakashiYoshinaga/360VR-Unity-Sample,False,True,False,False,False,False,False,False,1
Takudzwamz/CommandsService,False,True,False,False,False,False,False,False,1
TaliaMi/Atividade-4e,False,True,False,False,False,False,False,False,1
TanguyPatte/learn_conftest,True,False,False,False,False,False,False,False,1
TangxinGH/YARP,False,True,False,False,False,False,False,False,1
Tarandeep5/Angular_SuperHeroes,False,True,False,False,False,False,False,False,1
TarcisioOliveira2021/.NETProject,False,True,False,False,False,False,False,False,2
Tarunkcode/.net-mvc.crud,False,True,False,False,False,False,False,False,1
Taulant74/Lab,False,True,False,False,False,False,False,False,2
Tavo826/ASP-NET-Clean-Architecture-y-DDD,False,True,False,False,False,False,False,False,1
Tayyab94/2connectionSting_AspnetCore,False,True,False,False,False,False,False,False,1
Tayyab94/GraphQL_Net6_Codemaze,False,True,False,False,False,False,False,False,1
Tayyab94/Practice_Mysql_AspnetCore,False,True,False,False,False,False,False,False,1
Tayyab94/Serilog_AspnetCore6,False,True,False,False,False,False,False,False,1
Tbossun/SportsStore,False,True,False,False,False,False,False,False,1
Team-ApplicationWeb-Music4All/Back-end-Music4All,False,True,False,False,False,False,False,False,5
TehilaShaulzon/.net-core-project-Tasks,False,True,False,False,False,False,False,False,1
Tejasp2003/vraj-ai-article-summarizer,False,True,False,False,False,False,False,False,1
TekhneDev/exo-web-api,False,True,False,False,False,False,False,False,1
TeoDimitrov88/TRBabyShop,False,True,False,False,False,False,False,False,1
TepChoulong/TopGameReview,False,True,False,False,False,False,False,False,2
TerrOFGod/hw-net,False,True,False,False,False,False,False,False,2
ThalesGroup/dke-service-setup,True,False,False,False,False,False,False,False,2
Thamyresarm/dio-bootcamp-Pottencial-dotNet,False,True,False,False,False,False,False,False,1
ThanhTung2203/DoAnTotNghiep,False,True,False,False,False,False,False,False,1
ThatCreepyGuyInTheCorner/SWE3643_Project,False,True,False,False,False,False,False,False,1
TheCloudOfOz/Azure,False,True,False,False,False,False,False,False,1
TheDarthMole/upswake,True,False,False,False,False,False,False,False,5
TheRealHaoLiu/example-opa-policy-for-aap,True,False,False,False,False,False,False,False,4
Thegitway/dotnet-web-api,False,True,False,False,False,False,False,False,1
ThenjiweN/Team-9-NatuurlikRepo,False,True,False,False,False,False,False,False,7
ThetaIX/WEB_Laby,False,True,False,False,False,False,False,False,1
Thiago-sLira/project-trybe-hotel-phase-a,False,True,False,False,False,False,False,False,2
Thiago2807/OmeLi-API,False,True,False,False,False,False,False,False,1
Thiago309/Atv_4_Criar_o_restante_do_CRUD_de_projetos,False,True,False,False,False,False,False,False,1
ThreeBeatsMexico/THREEBITSCORE,False,True,False,False,False,False,False,False,2
Thucnnguyen/Scholarit,False,True,False,False,False,False,False,False,2
TiTle162/Identity-Server-System,False,True,False,False,False,False,False,False,1
Tiago-Alves-git/HotelBooking-C-,False,True,False,False,False,False,False,False,2
TienThinh-fe/readit-server,False,True,False,False,False,False,False,False,1
Titian3/DemoClaim,False,True,False,False,False,False,False,False,1
TitoSaavedra/TodoApi,False,True,False,False,False,False,False,False,1
TobiOlajumoke/Jenkins_CICD,False,True,False,False,False,False,False,False,1
TobiasEASV/Compulsory-Assignment---SDM,False,True,False,False,False,False,False,False,4
TolhNguyen/Ecommerce_Wedsite,False,True,False,False,False,False,False,False,2
TomasSobotaT/Portfolio_Manager,False,True,False,False,False,False,False,False,1
Tonton-DK/6-Software-Architecture,False,True,False,False,False,False,False,False,2
TopSwagCode/drawtest,False,True,False,False,False,False,False,False,1
Topaz557/The-Tech-Academy-Basic-C-Sharp-Projects.,False,True,False,False,False,False,False,False,1
Toyo-Daichi/hashicat-app,False,True,False,False,False,False,False,False,1
TrickSoLogic/BlackCoderGenerateQRCode,False,True,False,False,False,False,False,False,1
TrueTechLabs/fabric-trace,True,False,False,False,False,False,False,False,3
Truehand0fgod/932203.Morozov.webLabs,False,True,False,False,False,False,False,False,1
TrungTran2751999/QuanLyVatTuCungUngg,False,True,False,False,False,False,False,False,2
Tthomas63/source-coop-base-beta,False,True,False,False,False,False,False,False,1
Tturna/ASP-Data-Visualization,False,True,False,False,False,False,False,False,1
TulioSil11/API-locacao-de-imoveis,False,True,False,False,False,False,False,False,2
Tweemo/CSharp-MongoDb,False,True,False,False,False,False,False,False,1
Tyler-McIntyre/c-sharp,False,True,False,False,False,False,False,False,1
UBC-X-Lab/SurfShare,False,True,False,False,False,False,False,False,3
UBCHiveLab/SimBrainVR_MRTK,False,True,False,False,False,False,False,False,1
UNINETTSigma2/helm-charts,True,False,False,False,False,False,False,False,18
UPHRH-platform/sb-devops,True,False,False,False,False,False,False,False,135
USC-CSSL/CVAT-BWV,True,False,False,False,False,False,False,False,3
UWRealityLab/MRTK2-8-Template,False,True,False,False,False,False,False,False,1
Udaara/sinasco,True,False,False,False,False,False,False,False,2
Udayanga-Deeshan/Tasks-API,False,True,False,False,False,False,False,False,1
Udzuru/Secutity-System,False,True,False,False,False,False,False,False,2
Ulrich-T/tia-devops,False,True,False,False,False,False,False,False,1
UlrikJonasLove/AzureAD-MVC.NET,False,True,False,False,False,False,False,False,1
UltTransformer/demo,True,False,False,False,False,False,False,False,1
UniH0w/LR,False,True,False,False,False,False,False,False,1
UniSiegenWiNeMe/AR-Instructions-Unity,False,True,False,False,False,False,False,False,5
Unthink-pri18/Terraform-repo,True,False,False,False,False,False,False,False,1
UpToAltar/Shop-MVC--NET,False,True,False,False,False,False,False,False,1
Upravljanje-Razvojem-IS/tim_10_socialbuzz-tim_10_socialbuzz,False,True,False,False,False,False,False,False,2
Uyawag/Direct3DSurfaceAccessInHoloLens2Example,False,True,False,False,False,False,False,False,1
V-Torres2706/Senai-Sql-4,False,True,False,False,False,False,False,False,1
V-Torres2706/Senai-Sql3,False,True,False,False,False,False,False,False,1
V1ck3s/BodybuildingManager,False,True,False,False,False,False,False,False,2
VBAndCs/Vazor,False,True,False,False,False,False,False,False,2
VJftw/infrastructure,True,False,False,False,False,False,False,False,1
VZGLY/APIHangMan,False,True,False,False,False,False,False,False,1
Vaishuk15/Blob-upload-using-MVC,False,True,False,False,False,False,False,False,1
Vaishuk15/UrlShortener-using-sql,False,True,False,False,False,False,False,False,1
ValdirFerreira/API-DDD-2022-Parte-7,False,True,False,False,False,False,False,False,1
ValdirFerreira/MINIMAL-API-NET6-C-COM-BANCO-ORACLE-,False,True,False,False,False,False,False,False,1
Vangaorth/MRTKShaderRuntime,False,True,False,False,False,False,False,False,1
VariableExp0rt/openpolicyagent_resources,True,False,False,False,False,False,False,False,1
Vedant809/WebApi,False,True,False,False,False,False,False,False,-1
Venn1991/hashicorp-certified-terraform-associate,False,True,False,False,False,False,False,False,1
Vennila-siva/DevopsDemo,False,True,False,False,False,False,False,False,2
Verbinen/linkedin-courses,False,True,False,False,False,False,False,False,1
Verney2073/ZooManagement,False,True,False,False,False,False,False,False,1
VeronicaDLTT/MediDateFase2,False,True,False,False,False,False,False,False,1
Verthie/LABS_DotNet,False,True,False,False,False,False,False,False,2
Vialesoft/Vialesoft_Devlab,False,True,False,False,False,False,False,False,4
VictorDamian/PracticaApiEntity,False,True,False,False,False,False,False,False,1
Vijitta-Alexander/Ado.net,False,True,False,False,False,False,False,False,1
ViniciusAmbrosi/sistemas-distribuidos-elasticidade,False,True,False,False,False,False,False,False,1
VitorAraujoAlcantara/youtube-samples,False,True,False,False,False,False,False,False,2
VrBnDev/Exo.WebApi,False,True,False,False,False,False,False,False,1
W-Pawlik/CPC-2022-Project,False,True,False,False,False,False,False,False,1
WatcherWhale/taime,True,False,False,False,False,False,False,False,1
WeStart-ASP-NETCOREAngular/MohamedAlQadeery,False,True,False,False,False,False,False,False,1
WhCollar/SneilBeeHackathon,False,True,False,False,False,False,False,False,3
WhatsARanjit/terraform-k8s-pvc,False,True,False,False,False,False,False,False,1
WhiteRedDragons/Map-Labs-Momentum-PBR,False,True,False,False,False,False,False,False,-1
Whitebamboo/Round1,False,True,False,False,False,False,False,False,3
WillianSampaio/ExoApi,False,True,False,False,False,False,False,False,1
X-oss-byte/Fleet,True,False,False,False,False,False,False,False,182
X3rtM/Sankey-Arise,False,True,False,False,False,False,False,False,1
XKH-KHEA/ERPc,False,True,False,False,False,False,False,False,1
XavierAibar/servidor,False,True,False,False,False,False,False,False,1
XmyriyCat/API-3-layer-example,False,True,False,False,False,False,False,False,1
XoTaBuCh/IGI,False,True,False,False,False,False,False,False,1
XuananLe/RealtimeChat,False,True,False,False,False,False,False,False,2
Xyzyx101/HydroelectricStation,False,True,False,False,False,False,False,False,1
YGSilva/Clean-Architecture,False,True,False,False,False,False,False,False,2
YOURIxYOURI/school_garbage,False,True,False,False,False,False,False,False,1
YasserManouzi/GestionDesStages,False,True,False,False,False,False,False,False,1
Yentheee/opa-cyber-sec-adv,True,False,False,False,False,False,False,False,1
